id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",
2,10:41:20 17/01/2019,25,0,kutya,img
3,10:53:58 17/01/2019,25,,kako,img
3,10:53:58 17/01/2019,25,,kako,img
3,10:53:58 17/01/2019,25,,kako,img
3,10:53:58 17/01/2019,25,,kako,img
2,10:41:20 17/01/2019,25,0,fasz,img
2,10:41:20 17/01/2019,25,0,fasz,img
3,12:27:34 17/01/2019,25,0,kutyaszar,img
4,12:29:33 17/01/2019,25,0,"gergo
",img
5,12:32:02 17/01/2019,25,0,sadasda,img
5,12:32:02 17/01/2019,25,0,sadasda,img
6,12:37:46 17/01/2019,25,0,dasds,img
7,12:39:20 17/01/2019,25,0,asasasasassss,img
8,12:41:44 17/01/2019,25,0,dsasad,img
9,12:47:17 17/01/2019,25,0,jajajja,img
9,12:47:17 17/01/2019,25,2,dsadsa,im
10,13:07:41 17/01/2019,25,2,dasdsad,img
11,13:10:53 17/01/2019,25,2,2,img
12,13:15:26 17/01/2019,25,2,"q
",img
13,13:16:20 17/01/2019,25,2,ss,img
14,13:17:09 17/01/2019,25,2,s,img
15,13:20:39 17/01/2019,25,0,"s
",img
16,13:21:43 17/01/2019,25,0,sadsa,img
17,13:41:42 17/01/2019,25,2,hurray,img
18,14:07:27 17/01/2019,25,2,;sdfjhgsdfgh,img
18,14:07:27 17/01/2019,25,2,;sdfjhgsdfghzdfgsdfgs,img
